customer_id,Name,gender,past_3_years_bike_related_purchases,Age,job_title,job_industry_category,wealth_segment,owns_car,tenure
1,Laraine Medendorp,Female,93,69.58,Executive Secretary,Health,Mass Customer,Yes,11
2,Eli Bockman,Male,81,42.38,Administrative Officer,Financial Services,Mass Customer,Yes,16
3,Arlin Dearle,Male,61,69.30,Recruiting Manager,Property,Mass Customer,Yes,15
4,Talbot ,Male,33,61.60,,IT,Mass Customer,No,7
5,Sheila-kathryn Calton,Female,56,45.98,Senior Editor,,Affluent Customer,Yes,8
6,Curr Duckhouse,Male,35,56.64,,Retail,High Net Worth,Yes,13
7,Fina Merali,Female,6,47.20,,Financial Services,Affluent Customer,Yes,11
8,Rod Inder,Male,31,61.11,Media Manager I,,Mass Customer,No,7
9,Mala Lind,Female,97,50.16,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,8
10,Fiorenze Birdall,Female,49,34.56,Senior Quality Engineer,Financial Services,Mass Customer,Yes,20
11,Uriah Bisatt,Male,99,69.03,,Property,Mass Customer,No,9
12,Sawyere Flattman,Male,58,28.78,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8
13,Gabriele Norcross,Male,38,68.23,Developer I,Financial Services,High Net Worth,Yes,8
14,Rayshell Kitteman,Female,85,40.11,Account Executive,Financial Services,Affluent Customer,No,6
15,Erroll Radage,Male,91,22.79,Junior Executive,Manufacturing,Mass Customer,No,1
16,Harlin Parr,Male,38,46.18,Media Manager IV,,Mass Customer,Yes,18
17,Heath Faraday,Male,57,61.14,Sales Associate,,Affluent Customer,Yes,15
18,Marjie Neasham,Female,79,55.84,Professor,,Affluent Customer,No,11
19,Sorcha Keyson,Female,76,22.04,Geological Engineer,Manufacturing,High Net Worth,No,1
20,Basile Firth,Male,72,42.72,Project Manager,Manufacturing,Mass Customer,No,11
21,Mile Cammocke,Male,74,42.62,Safety Technician I,Manufacturing,Affluent Customer,Yes,16
22,Deeanne Durtnell,Female,79,60.41,,IT,Mass Customer,No,11
23,Olav Polak,Male,43,28.22,,,High Net Worth,Yes,1
24,Kim Skpsey,Female,55,45.42,Research Assistant I,Argiculture,Mass Customer,Yes,15
25,Geoff Assaf,Male,72,46.42,Accounting Assistant III,Financial Services,Mass Customer,Yes,21
26,Trixi Ginnelly,Female,12,44.90,Editor,Financial Services,Mass Customer,Yes,16
27,Garvin Klees,Male,37,44.61,Research Nurse,Health,Mass Customer,Yes,12
28,Fee Zellmer,Male,5,49.60,Senior Quality Engineer,Health,Affluent Customer,Yes,21
29,Mona Sancraft,Female,62,54.87,Safety Technician III,Manufacturing,Mass Customer,No,19
30,Darrick Helleckas,Male,18,61.56,,IT,Affluent Customer,Yes,6
31,Star Praton,Female,3,60.45,Staff Accountant III,Telecommunications,High Net Worth,Yes,14
32,Marion Vanichkin,Female,17,28.03,Legal Assistant,Manufacturing,Affluent Customer,No,4
33,Ernst Hacon,Male,44,65.87,Product Engineer,,Affluent Customer,Yes,11
35,Margaretha Strettle,Female,40,59.61,Information Systems Manager,Health,High Net Worth,Yes,16
36,Lurette Stonnell,Female,33,45.48,VP Quality Control,,Affluent Customer,No,22
37,Laurie Dwerryhouse,Female,46,37.36,Social Worker,Health,High Net Worth,No,16
38,Cordi Merman,Female,37,67.53,Senior Cost Accountant,Financial Services,Affluent Customer,No,20
39,Hunfredo Smalley,Male,5,44.05,Assistant Media Planner,Entertainment,Mass Customer,No,22
40,Tomasine Jerche,Female,91,41.52,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,No,14
41,Basilius Coupe,Male,64,47.06,Food Chemist,Health,Mass Customer,No,16
42,Chiquita Durnall,Female,24,46.10,Accountant III,Manufacturing,Mass Customer,No,18
43,Indira Belt,Female,38,40.18,Director of Sales,Retail,Mass Customer,No,5
44,Neron Verick,Male,63,41.54,Assistant Media Planner,Entertainment,Affluent Customer,Yes,17
45,Trace Woodhead,Male,64,47.62,Senior Financial Analyst,Financial Services,Mass Customer,No,8
46,Kaila Allin,Female,98,51.19,,,Affluent Customer,Yes,15
47,Matthew Jeaycock,Male,51,30.52,Registered Nurse,Health,Affluent Customer,No,2
48,Rebbecca Casone,Female,46,47.72,Biostatistician II,,Mass Customer,Yes,8
49,Nolly Ownsworth,Male,63,29.26,VP Quality Control,,Affluent Customer,No,1
50,Whitby Schapero,Male,38,42.59,Account Executive,Manufacturing,Mass Customer,Yes,16
51,Fidelio Dilke,Male,68,63.43,Computer Systems Analyst II,Retail,Mass Customer,No,18
52,Curran Bentson,Male,57,34.86,,Financial Services,Mass Customer,Yes,13
53,Agnella Gocke,Female,22,69.06,Software Test Engineer II,Financial Services,Mass Customer,No,16
54,Loralyn Wonfor,Female,2,56.79,Sales Associate,Property,Mass Customer,Yes,18
55,Linc Jillions,Male,48,66.62,Paralegal,Financial Services,Affluent Customer,Yes,7
56,Reese Ensor,Male,44,26.82,VP Sales,Property,Mass Customer,Yes,4
57,Abba Masedon,Male,87,34.88,Chief Design Engineer,,Mass Customer,Yes,13
58,Dalenna Pinnock,Female,26,55.84,Office Assistant III,Financial Services,Affluent Customer,Yes,17
